country,var,time,N,res,percent,reference,antibiotic,subsource,infection_colonisation,link,origin,assumption,notes
denmark,E,2005,116,0,0,,ciprofloxacin,sewage sludge,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
denmark,E,2003,613,4,0.7,,ceftiofur,pig manure,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
denmark,E,2005,116,0,0,,ceftiofur,sewage sludge,,https://www.sciencedirect.com/science/article/pii/S001393511000040X?via%3Dihub#aep-abstract-id10,,GERMANY,
senegal,H,2016,213,86,40.37558685,https://aslm.org/what-we-do/maap/maap-country-reports/,third generation cephalosporins,all humans total tested isolates,,https://aslm.org/wp-content/uploads/2023/08/REPORT-SENEGAL-PRINT.pdf?x89467,,,all  Enterobacterales
senegal,H,2017,2942,1161,39.46295037,https://aslm.org/what-we-do/maap/maap-country-reports/,third generation cephalosporins,all humans total tested isolates,,https://aslm.org/wp-content/uploads/2023/08/REPORT-SENEGAL-PRINT.pdf?x89467,,,
senegal,H,2018,2807,1172,41.75276095,https://aslm.org/what-we-do/maap/maap-country-reports/,third generation cephalosporins,all humans total tested isolates,,https://aslm.org/wp-content/uploads/2023/08/REPORT-SENEGAL-PRINT.pdf?x89467,,,
senegal,H,2003,2445,219.072,8.96,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,one minus sensitiviy to antibiotics of E coli
senegal,H,2004,2445,88.02,3.6,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2005,2445,100.245,4.1,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2006,2445,193.155,7.9,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2007,2445,298.29,12.2,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2008,2445,325.185,13.3,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2009,2445,239.61,9.8,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2010,2445,334.965,13.7,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2011,2445,322.74,13.2,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2012,2445,310.515,12.7,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2013,2445,413.205,16.9,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,cefotaxime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/1,,,
senegal,H,2009,1179,110.826,9.4,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,ceftazidime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/2,,,
senegal,H,2010,1179,161.523,13.7,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,ceftazidime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/3,,,
senegal,H,2011,1179,157.986,13.4,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,ceftazidime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/4,,,
senegal,H,2012,1179,149.733,12.7,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,ceftazidime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/5,,,
senegal,H,2013,1179,501.075,42.5,Evolution de la résistance aux antibiotiques des Escherichia coli uropathogènes communautaires (2003-2013,ceftazidime,community UTI,,https://revue-uroandro.org/index.php/uro-andro/article/view/1/6,,,
